Count	Months	2015	2016	2017	2018	2019
1	January	1.5142	1.4404	1.2355	1.3823	1.2891
1	February	1.5329	1.4298	1.2495	1.3961	1.3016
1	March	1.4958	1.4249	1.2347	1.3976	1.3167
1	April	1.4968	1.4319	1.2639	1.4079	1.3088
1	May	1.5456	1.4524	1.2929	 1.3470	0.0
1	June	1.5576	1.4197	1.2810	 1.3294	0.0
1	July	1.5560	1.3134	1.2996	 1.3162	0.0
1	August	1.5578	1.3101	1.3340	 1.2878	0.0 
1	September	1.5338	1.3140	1.2952	 1.3066	0.0
1	October	1.5343	1.2330	1.3202	 1.3012	0.0
1	November	1.5194	1.2432	1.3215	 1.2900	0.0
1	December	1.4981	1.2483	1.3404	 1.2664	0.0